"title","price","store","link","gpu","ram","storage","cpu","screen"
"ASUS ROG Strix SCAR 18 G835LX-XS98 18"" Gaming Laptop Computer - Off Black Intel Core Ultra 9 275HX 2.7GHz Processor; NVIDIA GeForce RTX 5090 24GB GDDR7; 64GB DDR5-5600 RAM; 2TB Solid State Drive","$5,499.99 ","Newegg","https://www.newegg.com/asus-18-0-geforce-rtx-5090-laptop-gpu-2-5k-anti-glare-64gb-memory-2-tb-ssd/p/2WC-000N-0G5Z0","RTX 5090","24GB","24GB SSD","","18-inch"
"[2025] HIDevolution ASUS ROG Strix SCAR 18 G835LR 18"" WQXGA 240Hz Mini LED, 2.1 GHz Ultra 9-275HX, RTX 5070TI, 32 GB DDR5 RAM, 1 TB PCIe SSD, Windows 11 Pro","$2,799.00 ","Newegg","https://www.newegg.com/asus-rog-strix-scar-18-18-0-geforce-rtx-5070-ti-laptop-gpu-intel-core-ultra-9-275hx-wqxga-32gb-memory-1-tb-ssd/p/2WC-000N-0FZN4","RTX 5070 Ti","32GB","32GB SSD","","18-inch"
"ASUS ROG Strix Scar 18 Gaming Laptop, 18"" 2.5K 240Hz, Intel Ultra 9 275HX 2.70GHz Processor, RTX 5070 Ti 12GB GDDR7, 32GB DDR5 512GB PCIe SSD, Per Key RGB KB, Windows 11, Office 2024 License","$3,479.00 ","Newegg","https://www.newegg.com/asus-raider-18-0-geforce-rtx-5070-ti-laptop-gpu-2-70ghz-qhd-32gb-memory-512gb-pcie-ssd-ssd/p/2WC-000N-0GPD7","RTX 5070 Ti","12GB","12GB SSD","","18-inch"
"ASUS ROG Strix Scar 18 Gaming Laptop, 18"" 2.5K 240Hz, Intel Ultra 9 275HX 2.70GHz Processor, RTX 5070 Ti 12GB GDDR7, 16GB DDR5 512GB PCIe SSD, Per Key RGB KB, Windows 11, Office 2021 License","$3,279.00 ","Newegg","https://www.newegg.com/asus-raider-18-0-geforce-rtx-5070-ti-laptop-gpu-2-70ghz-qhd-16gb-memory-512gb-pcie-ssd-ssd/p/2WC-000N-0GPC8","RTX 5070 Ti","12GB","12GB SSD","","18-inch"
"ASUS ROG Strix Scar 18 Gaming Laptop, 18"" 2.5K 240Hz, Intel Ultra 9 275HX 2.70GHz Processor, RTX 5070 Ti 12GB GDDR7, 16GB DDR5 512GB PCIe SSD, Per Key RGB KB, Windows 11, Office 2024 License","$3,279.00 ","Newegg","https://www.newegg.com/asus-raider-18-0-geforce-rtx-5070-ti-laptop-gpu-2-70ghz-qhd-16gb-memory-512gb-pcie-ssd-ssd/p/2WC-000N-0GPC3","RTX 5070 Ti","12GB","12GB SSD","","18-inch"
"ASUS ROG Strix Scar 18 Gaming Laptop, 18"" 2.5K 240Hz, Intel Ultra 9 275HX 2.70GHz Processor, RTX 5070 Ti 12GB GDDR7, 16GB DDR5 1TB PCIe SSD, Per Key RGB KB, Windows 11, Office 2024 License","$3,449.00 ","Newegg","https://www.newegg.com/asus-raider-18-0-geforce-rtx-5070-ti-laptop-gpu-2-70ghz-qhd-16gb-memory-1tb-pcie-ssd-ssd/p/2WC-000N-0GPC9","RTX 5070 Ti","12GB","12GB SSD","","18-inch"
"ASUS ROG Strix Scar 18 Gaming Laptop, 18"" 2.5K 240Hz, Intel Ultra 9 275HX 2.70GHz Processor, RTX 5070 Ti 12GB GDDR7, 32GB DDR5 512GB PCIe SSD, Per Key RGB KB, Windows 11, Office 2021 License","$3,479.00 ","Newegg","https://www.newegg.com/asus-raider-18-0-geforce-rtx-5070-ti-laptop-gpu-2-70ghz-qhd-32gb-memory-512gb-pcie-ssd-ssd/p/2WC-000N-0GPE0","RTX 5070 Ti","12GB","12GB SSD","","18-inch"
"ASUS ROG Strix Scar 18 Gaming Laptop, 18"" 2.5K 240Hz, Intel Ultra 9 275HX 2.70GHz Processor, RTX 5070 Ti 12GB GDDR7, 32GB DDR5 2TB PCIe SSD, Per Key RGB KB, Windows 11 Pro, Office 2024 License","$3,819.00 ","Newegg","https://www.newegg.com/asus-raider-18-0-geforce-rtx-5070-ti-laptop-gpu-2-70ghz-qhd-32gb-memory-2tb-pcie-ssd-ssd/p/2WC-000N-0GPD5","RTX 5070 Ti","12GB","12GB SSD","","18-inch"
"ASUS ROG Strix Scar 18 Gaming Laptop, 18"" 2.5K 240Hz, Intel Ultra 9 275HX 2.70GHz Processor, RTX 5070 Ti 12GB GDDR7, 32GB DDR5 1TB PCIe SSD, Per Key RGB KB, Windows 11 Pro, Office 2024 License","$3,659.00 ","Newegg","https://www.newegg.com/asus-raider-18-0-geforce-rtx-5070-ti-laptop-gpu-2-70ghz-qhd-32gb-memory-1tb-pcie-ssd-ssd/p/2WC-000N-0GPD1","RTX 5070 Ti","12GB","12GB SSD","","18-inch"
"ASUS ROG Strix Scar 18 Gaming Laptop, 18"" 2.5K 240Hz, Intel Ultra 9 275HX 2.70GHz Processor, RTX 5070 Ti 12GB GDDR7, 16GB DDR5 2TB PCIe SSD, Per Key RGB KB, Windows 11, Office 2024 License","$3,609.00 ","Newegg","https://www.newegg.com/asus-raider-18-0-geforce-rtx-5070-ti-laptop-gpu-2-70ghz-qhd-16gb-memory-2tb-pcie-ssd-ssd/p/2WC-000N-0GPD3","RTX 5070 Ti","12GB","12GB SSD","","18-inch"
